AVL Inserting 1369321801, traversed counter is 435
BST Inserting 745425661, traversed counter is 9
AVL Inserting 745425661, traversed counter is 12
BST Inserting 396473730, traversed counter is 12
AVL Inserting 396473730, traversed counter is 11
BST Inserting 1308044878, traversed counter is 8
AVL Inserting 1308044878, traversed counter is 46
BST Inserting 1346811305, traversed counter is 10
AVL Inserting 1346811305, traversed counter is 11
BST Inserting 1569229320, traversed counter is 12
AVL Inserting 1569229320, traversed counter is 435
BST Inserting 705178736, traversed counter is 10
AVL Inserting 705178736, traversed counter is 328
BST Inserting 1590079444, traversed counter is 14
AVL Inserting 1590079444, traversed counter is 12
BST Inserting 434248626, traversed counter is 10
AVL Inserting 434248626, traversed counter is 47
BST Inserting 1977648522, traversed counter is 11
AVL Inserting 1977648522, traversed counter is 402
BST Inserting 1470503465, traversed counter is 15
AVL Inserting 1470503465, traversed counter is 12
BST Inserting 1402586708, traversed counter is 16
AVL Inserting 1402586708, traversed counter is 428
BST Inserting 552473416, traversed counter is 9
AVL Inserting 552473416, traversed counter is 351
BST Inserting 1143408282, traversed counter is 11
AVL Inserting 1143408282, traversed counter is 430
BST Inserting 188213258, traversed counter is 12
AVL Inserting 188213258, traversed counter is 358
BST Inserting 559412924, traversed counter is 10
AVL Inserting 559412924, traversed counter is 12
BST Inserting 1884167637, traversed counter is 10
AVL Inserting 1884167637, traversed counter is 421
BST Inserting 1473442062, traversed counter is 16
AVL Inserting 1473442062, traversed counter is 94
BST Inserting 201305624, traversed counter is 13
AVL Inserting 201305624, traversed counter is 365
BST Inserting 238962600, traversed counter is 12
AVL Inserting 238962600, traversed counter is 337
BST Inserting 776532036, traversed counter is 8
AVL Inserting 776532036, traversed counter is 11
BST Inserting 1238433452, traversed counter is 13
AVL Inserting 1238433452, traversed counter is 12
BST Inserting 1273911899, traversed counter is 10
AVL Inserting 1273911899, traversed counter is 464
BST Inserting 1431419379, traversed counter is 12
AVL Inserting 1431419379, traversed counter is 470
BST Inserting 620145550, traversed counter is 9
AVL Inserting 620145550, traversed counter is 330
BST Inserting 1665947468, traversed counter is 5
AVL Inserting 1665947468, traversed counter is 475
BST Inserting 619290071, traversed counter is 10
AVL Inserting 619290071, traversed counter is 10
BST Inserting 707900973, traversed counter is 10
AVL Inserting 707900973, traversed counter is 363
BST Inserting 407487131, traversed counter is 8
AVL Inserting 407487131, traversed counter is 17
BST Inserting 2113903881, traversed counter is 8
AVL Inserting 2113903881, traversed counter is 446
BST Inserting 7684930, traversed counter is 7
AVL Inserting 7684930, traversed counter is 11
BST Inserting 1776808933, traversed counter is 11
AVL Inserting 1776808933, traversed counter is 12
BST Inserting 711845894, traversed counter is 7
AVL Inserting 711845894, traversed counter is 376
BST Inserting 404158660, traversed counter is 9
AVL Inserting 404158660, traversed counter is 11
BST Inserting 937370163, traversed counter is 11
AVL Inserting 937370163, traversed counter is 12
BST Inserting 2058657199, traversed counter is 8
AVL Inserting 2058657199, traversed counter is 11
BST Inserting 1973387981, traversed counter is 5
AVL Inserting 1973387981, traversed counter is 459
BST Inserting 1642548899, traversed counter is 10
AVL Inserting 1642548899, traversed counter is 12
BST Inserting 1501252996, traversed counter is 14
AVL Inserting 1501252996, traversed counter is 503
BST Inserting 260152959, traversed counter is 12
AVL Inserting 260152959, traversed counter is 372
BST Inserting 1472713773, traversed counter is 17
AVL Inserting 1472713773, traversed counter is 12
BST Inserting 824272813, traversed counter is 8
AVL Inserting 824272813, traversed counter is 11
BST Inserting 1662739668, traversed counter is 6
AVL Inserting 1662739668, traversed counter is 524
BST Inserting 2025187190, traversed counter is 9
AVL Inserting 2025187190, traversed counter is 479
BST Inserting 1967681095, traversed counter is 6
AVL Inserting 1967681095, traversed counter is 12
BST Inserting 1850952926, traversed counter is 8
AVL Inserting 1850952926, traversed counter is 18
BST Inserting 437116466, traversed counter is 11
AVL Inserting 437116466, traversed counter is 11
BST Inserting 1704365084, traversed counter is 7
AVL Inserting 1704365084, traversed counter is 12
BST Inserting 1176911340, traversed counter is 12
AVL Inserting 1176911340, traversed counter is 496
BST Inserting 638422090, traversed counter is 9
AVL Inserting 638422090, traversed counter is 400
BST Inserting 1943327684, traversed counter is 7
AVL Inserting 1943327684, traversed counter is 502
BST Inserting 1953443376, traversed counter is 6
AVL Inserting 1953443376, traversed counter is 12
BST Inserting 1876855542, traversed counter is 11
AVL Inserting 1876855542, traversed counter is 12
BST Inserting 1069755936, traversed counter is 13
AVL Inserting 1069755936, traversed counter is 538
BST Inserting 1237379107, traversed counter is 14
AVL Inserting 1237379107, traversed counter is 18
BST Inserting 349517445, traversed counter is 10
AVL Inserting 349517445, traversed counter is 29
BST Inserting 588219756, traversed counter is 8
AVL Inserting 588219756, traversed counter is 406
BST Inserting 1856669179, traversed counter is 9
AVL Inserting 1856669179, traversed counter is 12
BST Inserting 1057418418, traversed counter is 11
AVL Inserting 1057418418, traversed counter is 12
BST Inserting 995706887, traversed counter is 10
AVL Inserting 995706887, traversed counter is 149
BST Inserting 1823089412, traversed counter is 6
AVL Inserting 1823089412, traversed counter is 515
BST Inserting 1065103348, traversed counter is 12
AVL Inserting 1065103348, traversed counter is 469
BST Inserting 625032172, traversed counter is 10
AVL Inserting 625032172, traversed counter is 382
BST Inserting 387451659, traversed counter is 12
AVL Inserting 387451659, traversed counter is 412
BST Inserting 1469262009, traversed counter is 15
AVL Inserting 1469262009, traversed counter is 550
BST Inserting 1562402336, traversed counter is 13
AVL Inserting 1562402336, traversed counter is 533
BST Inserting 298625210, traversed counter is 6
AVL Inserting 298625210, traversed counter is 11
BST Inserting 1295166342, traversed counter is 10
AVL Inserting 1295166342, traversed counter is 519
BST Inserting 1057467587, traversed counter is 12
AVL Inserting 1057467587, traversed counter is 486
BST Inserting 1799878206, traversed counter is 10
AVL Inserting 1799878206, traversed counter is 538
BST Inserting 1555319301, traversed counter is 14
AVL Inserting 1555319301, traversed counter is 12
BST Inserting 382697713, traversed counter is 11
AVL Inserting 382697713, traversed counter is 11
BST Inserting 476667372, traversed counter is 11
AVL Inserting 476667372, traversed counter is 10
BST Inserting 1070575321, traversed counter is 14
AVL Inserting 1070575321, traversed counter is 11
BST Inserting 260401255, traversed counter is 13
AVL Inserting 260401255, traversed counter is 17
BST Inserting 296864819, traversed counter is 7
AVL Inserting 296864819, traversed counter is 28
BST Inserting 774044599, traversed counter is 9
AVL Inserting 774044599, traversed counter is 529
BST Inserting 697517721, traversed counter is 11
AVL Inserting 697517721, traversed counter is 11
BST Inserting 2001229904, traversed counter is 8
AVL Inserting 2001229904, traversed counter is 12
BST Inserting 1950955939, traversed counter is 7
AVL Inserting 1950955939, traversed counter is 550
BST Inserting 1335939811, traversed counter is 11
AVL Inserting 1335939811, traversed counter is 12
